1230000 0.387 68.117 4.408 -1171.163 0.000 61.334 -1109.830 107.029  3084 0.615 30.938 0
1240000 0.387 68.117 4.409 -1194.989 0.000 72.259 -1122.730 105.613  3106 0.620 30.790 0
1250000 0.387 68.117 4.409 -1165.929 0.000 71.254 -1094.675 102.950  3038 0.625 30.781 0
1260000 0.386 68.117 4.409 -1164.064 0.000 72.007 -1092.057 116.246  3056 0.630 30.783 0
1270000 0.387 68.117 4.409 -1138.296 0.000 62.949 -1075.347 114.714  2992 0.635 30.973 0
1280000 0.387 68.117 4.410 -1171.013 0.000 67.461 -1103.552 111.617  3052 0.640 30.993 0
1290000 0.387 68.117 4.410 -1172.372 0.000 65.505 -1106.867 124.743  3092 0.645 30.878 0
1300000 0.387 68.117 4.410 -1162.706 0.000 67.385 -1095.322 108.521  3054 0.650 30.967 0
1310000 0.387 68.117 4.410 -1173.687 0.000 64.125 -1109.561 143.020  3086 0.655 31.044 0
1320000 0.387 68.117 4.411 -1167.506 0.000 75.053 -1092.453 119.775  3062 0.660 30.792 0
1330000 0.387 68.117 4.411 -1183.665 0.000 64.934 -1118.731 117.240  3106 0.665 30.625 0
1340000 0.388 68.117 4.411 -1169.824 0.000 82.233 -1087.591 122.821  3116 0.670 30.572 0
1350000 0.386 68.117 4.411 -1166.789 0.000 67.798 -1098.991 121.180  3058 0.675 30.640 0
1360000 0.387 68.117 4.412 -1184.866 0.000 77.904 -1106.962 114.786  3144 0.680 30.511 0
1370000 0.386 68.117 4.412 -1195.069 0.000 77.008 -1118.061 115.504  3176 0.685 30.381 0
1380000 0.387 68.117 4.412 -1191.082 0.000 71.244 -1119.838 127.804  3164 0.690 30.402 0
1390000 0.388 68.117 4.412 -1191.417 0.000 80.408 -1111.009 114.570  3118 0.695 30.467 0
1400000 0.387 68.117 4.413 -1185.976 0.000 71.021 -1114.955 115.126  3086 0.700 30.650 0
1410000 0.387 68.117 4.413 -1175.545 0.000 78.855 -1096.689 118.174  3100 0.705 30.689 0
1420000 0.386 68.117 4.413 -1203.515 0.000 74.246 -1129.269 130.373  3148 0.710 30.757 0
1430000 0.387 68.117 4.413 -1169.987 0.000 68.485 -1101.503 131.027  3052 0.715 30.986 0
1440000 0.387 68.117 4.414 -1167.365 0.000 68.832 -1098.533 110.055  3076 0.720 30.892 0
1450000 0.387 68.117 4.414 -1193.000 0.000 71.776 -1121.223 115.425  3108 0.725 30.717 0
1460000 0.387 68.117 4.414 -1203.165 0.000 78.979 -1124.186 118.136  3184 0.730 30.588 0
1470000 0.386 68.117 4.414 -1186.099 0.000 77.047 -1109.052 109.624  3104 0.735 30.738 0
1480000 0.387 68.117 4.415 -1176.495 0.000 67.759 -1108.736 111.868  3168 0.740 30.711 0
1490000 0.388 68.117 4.415 -1196.086 0.000 80.464 -1115.622 134.388  3136 0.745 30.693 0
1500000 0.387 68.117 4.415 -1168.388 0.000 66.115 -1102.273 110.573  3108 0.750 30.889 0
1510000 0.388 68.117 4.415 -1182.088 0.000 62.456 -1119.632 103.504  3088 0.755 31.104 0
1520000 0.387 68.117 4.416 -1187.368 0.000 65.185 -1122.183 115.161  3126 0.760 31.062 0
1530000 0.387 68.117 4.416 -1191.928 0.000 65.524 -1126.404 114.692  3118 0.765 31.165 0
1540000 0.387 68.117 4.416 -1179.126 0.000 62.007 -1117.119 134.821  3096 0.770 31.207 0
1550000 0.387 68.117 4.416 -1197.387 0.000 71.371 -1126.015 129.134  3166 0.775 31.109 0
1560000 0.387 68.117 4.417 -1189.722 0.000 64.732 -1124.990 109.974  3110 0.780 31.148 0
1570000 0.387 68.117 4.417 -1151.758 0.000 62.991 -1088.767 105.942  3006 0.785 31.165 0
1580000 0.386 68.117 4.417 -1170.292 0.000 64.095 -1106.198 104.562  3048 0.790 31.263 0
1590000 0.387 68.117 4.417 -1195.536 0.000 70.793 -1124.743 107.889  3122 0.795 31.201 0
1600000 0.387 68.117 4.418 -1192.623 0.000 67.748 -1124.875 114.042  3112 0.800 31.153 0
1610000 0.386 68.117 4.418 -1165.347 0.000 61.456 -1103.892 108.561  3066 0.805 31.212 0
1620000 0.386 68.117 4.418 -1178.291 0.000 64.229 -1114.061 120.436  3104 0.810 31.295 0
1630000 0.386 68.117 4.418 -1179.438 0.000 66.925 -1112.513 120.641  3136 0.815 31.225 0
1640000 0.387 68.117 4.419 -1168.850 0.000 66.154 -1102.695 106.203  3122 0.820 31.219 0
1650000 0.387 68.117 4.419 -1165.452 0.000 70.337 -1095.116 112.141  3072 0.825 31.251 0
1660000 0.387 68.117 4.419 -1187.703 0.000 71.606 -1116.097 119.608  3108 0.830 31.285 0
1670000 0.388 68.117 4.419 -1170.139 0.000 79.800 -1090.339 114.394  3128 0.835 31.295 0
1680000 0.386 68.117 4.420 -1162.351 0.000 69.028 -1093.323 114.038  3056 0.840 31.370 0
1690000 0.388 68.117 4.420 -1174.511 0.000 65.782 -1108.729 109.924  3068 0.845 31.289 0
1700000 0.386 68.117 4.420 -1177.687 0.000 68.992 -1108.694 109.457  3108 0.850 31.184 0
1710000 0.387 68.117 4.420 -1180.146 0.000 67.129 -1113.017 132.703  3076 0.855 31.046 0
1720000 0.387 68.117 4.421 -1184.356 0.000 66.412 -1117.945 129.813  3084 0.860 31.090 0
1730000 0.387 68.117 4.421 -1182.495 0.000 64.042 -1118.453 111.040  3104 0.865 31.014 0
1740000 0.387 68.117 4.421 -1183.898 0.000 69.820 -1114.078 114.368  3150 0.870 30.996 0
1750000 0.388 68.117 4.421 -1160.872 0.000 70.255 -1090.617 104.710  3078 0.875 30.908 0
1760000 0.387 68.117 4.422 -1184.167 0.000 82.385 -1101.781 107.594  3136 0.880 30.790 0
1770000 0.386 68.117 4.422 -1182.883 0.000 74.295 -1108.587 129.582  3132 0.885 30.910 0
1780000 0.387 68.117 4.422 -1153.415 0.000 63.176 -1090.239 122.775  3058 0.890 31.066 0
1790000 0.387 68.117 4.422 -1157.947 0.000 63.075 -1094.872 108.604  3068 0.895 30.930 0
1800000 0.387 68.117 4.423 -1189.074 0.000 63.218 -1125.856 109.238  3110 0.900 31.004 0
1810000 0.387 68.117 4.423 -1152.224 0.000 71.934 -1080.290 119.654  3038 0.905 30.976 0
1820000 0.387 68.117 4.423 -1171.047 0.000 72.865 -1098.181 117.434  3094 0.910 31.149 0
1830000 0.386 68.117 4.423 -1174.992 0.000 69.823 -1105.169 108.796  3134 0.915 31.007 0
